timestamp,open,high,low,close,volume
20140325,162443,164046,157636,158638,1273704
20140324,161242,167251,161041,167050,474707
20140321,163245,164046,159038,161041,617908
20140320,167851,169053,162644,163245,571367
20140319,166850,170255,165248,166850,653574
20140318,162844,165648,159439,164046,662251
20140317,160841,164647,158638,160440,654697
20140314,163845,166650,160040,162243,914258
20140313,163044,168052,162644,167651,786265
20140312,169454,171056,162644,162644,937054
20140311,173059,175663,168252,170255,553419
20140310,166850,171657,166249,170856,660599
20140307,168252,170055,165047,165448,611263
20140306,176264,176264,166650,167451,1027134
20140305,166850,171657,166249,170656,748402
20140304,161842,165448,161642,164647,470039
20140303,162243,165648,159038,162844,1329995
20140228,161041,164246,159839,163645,1430274
20140227,152228,160040,149824,158638,1392940
20140226,150626,152228,148823,152228,1764957
20140225,138608,149023,137206,147221,2403924
20140224,142814,143014,135203,137005,1306085
20140221,137806,144016,137606,141212,2410898
20140220,143815,146620,137606,138007,3442845
20140219,150626,151627,148422,150225,374428
20140218,150826,151227,148623,150626,259780
20140217,151827,153630,149624,150025,488846
20140214,149824,151427,148623,150225,520763
20140213,148422,149824,146419,149824,486005
20140212,148823,149224,146419,148422,342810
20140211,147821,149624,146620,147621,492491
20140210,150025,150826,147020,147020,661747
20140207,150425,151227,146419,150425,933354
20140206,144216,152028,143615,148022,2137154
20140205,135002,138407,134201,138007,760404
20140204,132198,134802,131797,133400,677653
20140203,136605,138608,135203,135403,837368
20140129,136204,137406,134602,135203,685491
20140128,132198,135803,131797,135603,556650
20140127,130395,134001,128793,131998,1420509
20140124,141011,141011,135203,136004,1686984
20140123,141011,142013,139209,140210,313379
20140122,140210,141212,138808,141011,592041
20140121,143415,143415,139809,140210,554812
20140120,143215,145818,143014,143615,367174
20140117,144216,144416,141812,143215,468322
20140116,141011,144416,140410,144216,807988
20140115,135002,139209,133600,138808,786615
20140114,133800,137406,132599,133600,980484
20140113,139209,140410,132999,134201,947199
20140110,132599,138608,132599,138207,989321
20140109,139209,139809,134401,134401,1068297
20140108,143014,145618,137406,140210,1140229
20140107,140410,141812,140010,140210,720084
20140106,141212,142814,138407,140010,927738
20140103,145218,145218,139008,140010,1100693
20140102,148022,148623,145017,145218,549221
