index,open,high,low,close,volume
20081224,451500,452000,425000,425000,2578
20081223,449000,452000,435500,452000,3324
20081222,458000,458500,444000,449000,3055
20081219,454000,454000,437500,444000,3891
20081218,440000,469500,439000,444000,6088
20081217,443000,445000,430500,440000,2139
20081216,425000,440000,412000,440000,3103
20081215,404000,429500,402500,425000,6928
20081212,411500,411500,389000,395000,4347
20081211,396500,413000,396000,410000,6002
20081210,396500,399000,389000,398000,5548
20081209,405000,405000,386500,397000,7766
20081208,382000,395500,380500,390500,4604
20081205,376000,390000,372500,386000,2483
20081204,376500,382500,370000,372500,1720
20081203,377000,380000,370000,379500,1933
20081202,381500,388500,374000,375000,2494
20081201,425000,425000,401000,401000,4802
20081128,399500,425000,397500,421000,4290
20081127,393000,401000,385000,401000,3812
20081126,379500,395000,379500,390000,2425
20081125,382000,389500,365000,388500,1464
20081124,378000,380000,356000,380000,2169
20081121,361500,380500,345000,380000,1344
20081120,374000,375000,352000,362500,1493
20081119,390000,394000,373000,380500,1560
20081118,396500,410000,381500,394500,3061
20081117,399500,401000,380000,397000,1666
20081114,399000,434500,390500,400000,3499
20081113,390000,394000,382500,390000,2528
20081112,398000,405000,387000,397500,2242
20081111,397000,401000,390000,398000,1409
20081110,399000,401000,391500,396000,1984
20081107,395000,400000,377000,395000,1832
20081106,384000,401500,381000,399500,2040
20081105,408000,410500,396000,403000,4205
20081104,402500,407500,385000,404000,2704
20081103,400500,417500,396500,402500,2375
20081031,405000,450000,377000,399000,4590
20081030,333000,396500,326000,396500,4137
20081029,349000,349000,285500,345000,4679
20081028,294000,334500,280000,303500,3800
20081027,310500,335500,285500,306000,3143
20081024,341500,357000,335500,335500,2064
20081023,370000,408000,368000,369500,2391
20081022,463000,480000,404500,420000,2658
20081021,465000,465500,446500,465000,1427
20081020,466000,470000,444500,470000,1159
20081017,471000,472000,443000,448000,2297
20081016,475000,488000,465000,470000,1528
20081015,513000,514000,495500,510000,1001
20081014,511000,524000,499500,512000,3267
20081013,522000,522000,460000,509000,1595
20081010,514000,514000,464000,490000,1900
20081009,525000,539000,514000,530000,2304
20081008,555000,558000,525000,525000,1078
20081007,569000,574000,550000,562000,1609
20081006,574000,578000,553000,574000,1005
20081002,559000,575000,559000,575000,1302
20081001,584000,585000,566000,583000,2223
20080930,575000,596000,540000,584000,2044
20080929,596000,600000,589000,593000,2425
20080926,600000,600000,592000,592000,849
20080925,600000,601000,593000,599000,1431
20080924,600000,606000,597000,598000,1865
20080923,617000,640000,598000,599000,4959
20080922,604000,612000,596000,602000,807
20080919,600000,615000,591000,605000,4123
20080918,597000,603000,585000,600000,1003
20080917,599000,604000,590000,597000,9409
20080916,574000,675000,574000,598000,1668
20080912,591000,613000,589000,610000,1817
20080911,615000,615000,586000,586000,2903
20080910,602000,629000,590000,614000,631
20080909,627000,627000,601000,602000,1054
20080908,628000,634000,620000,627000,1026
20080905,661000,668000,625000,628000,1274
20080904,682000,695000,661000,661000,643
20080903,689000,713000,689000,689000,453
20080902,675000,710000,672000,675000,834
20080901,680000,700000,671000,683000,712
20080829,668000,700000,667000,690000,574
20080828,695000,695000,656000,659000,439
20080827,665000,698000,660000,695000,686
20080826,650000,679000,647000,666000,750
20080825,644000,659000,644000,649000,309
20080822,649000,655000,633000,644000,322
20080821,650000,652000,642000,645000,437
20080820,660000,664000,645000,652000,387
20080819,644000,656000,642000,647000,221
20080818,666000,669000,653000,657000,316
20080814,651000,667000,651000,667000,822
20080813,665000,667000,650000,664000,388
20080812,653000,668000,648000,665000,378
20080811,646000,664000,646000,664000,362
20080808,652000,656000,639000,646000,452
20080807,667000,668000,655000,659000,586
20080806,662000,678000,662000,677000,339
20080805,654000,673000,652000,670000,821
20080804,675000,679000,646000,646000,682
20080801,685000,692000,672000,672000,652
20080731,682000,700000,678000,700000,484
20080730,671000,685000,670000,683000,353
20080729,705000,705000,645000,670000,969
20080728,699000,710000,686000,700000,444
20080725,700000,719000,685000,693000,408
20080724,692000,700000,683000,700000,695
20080723,679000,697000,667000,697000,420
20080722,706000,706000,666000,666000,506
20080721,660000,707000,650000,685000,964
20080718,653000,662000,648000,648000,295
20080717,653000,665000,649000,657000,467
20080716,657000,679000,641000,667000,802
20080715,672000,672000,644000,647000,497
20080714,674000,675000,650000,660000,816
20080711,653000,664000,633000,653000,738
20080710,643000,666000,643000,649000,1377
20080709,695000,712000,643000,643000,915
20080708,718000,722000,654000,689000,1218
20080707,707000,730000,707000,724000,589
20080704,703000,720000,701000,707000,278
20080703,710000,728000,710000,710000,741
20080702,730000,733000,710000,710000,803
20080701,713000,730000,712000,727000,428
20080630,701000,719000,701000,713000,360
20080627,707000,712000,702000,702000,417
20080626,704000,713000,700000,710000,448
20080625,697000,717000,697000,710000,510
20080624,704000,706000,692000,692000,833
20080623,715000,717000,706000,708000,241
20080620,703000,719000,703000,707000,578
20080619,738000,738000,700000,707000,1079
20080618,727000,739000,721000,731000,311
20080617,733000,733000,716000,718000,431
20080616,715000,726000,713000,718000,780
20080613,731000,733000,712000,722000,804
20080612,760000,766000,722000,722000,1934
20080611,753000,770000,753000,760000,555
20080610,766000,778000,754000,754000,631
20080609,778000,778000,761000,769000,339
20080605,780000,895000,778000,779000,606
20080604,780000,795000,780000,792000,451
20080603,792000,792000,782000,782000,147
20080602,811000,811000,779000,793000,468
20080530,783000,811000,779000,811000,403
20080529,774000,803000,774000,800000,526
20080528,776000,782000,768000,774000,362
20080527,780000,784000,775000,784000,142
20080526,783000,790000,773000,790000,415
20080523,773000,800000,761000,775000,871
20080522,791000,791000,773000,775000,446
20080521,796000,800000,781000,791000,453
20080520,797000,806000,788000,797000,204
20080519,794000,809000,794000,809000,281
20080516,796000,807000,786000,794000,570
20080515,785000,810000,780000,807000,412
20080514,794000,821000,782000,792000,637
20080513,781000,810000,780000,810000,649
20080509,827000,849000,780000,780000,1371
20080508,830000,860000,830000,831000,810
20080507,799000,830000,798000,830000,384
20080506,795000,820000,794000,812000,460
20080502,787000,794000,785000,792000,330
20080430,790000,804000,789000,790000,403
20080429,786000,804000,786000,788000,553
20080428,786000,809000,780000,797000,235
20080425,780000,806000,780000,803000,294
20080424,790000,791000,778000,785000,379
20080423,778000,814000,778000,811000,464
20080422,780000,795000,775000,775000,494
20080421,780000,784000,773000,780000,127
20080418,782000,789000,775000,788000,445
20080417,775000,782000,766000,782000,521
20080416,766000,783000,765000,770000,602
20080415,770000,780000,760000,765000,337
20080414,778000,788000,751000,768000,317
20080411,777000,794000,777000,786000,466
20080410,780000,795000,775000,780000,768
20080408,773000,781000,770000,780000,346
20080407,778000,797000,770000,785000,737
20080404,774000,780000,766000,778000,1315
20080403,778000,786000,775000,778000,1555
20080402,775000,780000,773000,778000,852
20080401,769000,778000,755000,777000,311
20080331,785000,785000,770000,777000,468
20080328,771000,778000,771000,778000,399
