,open,high,low,close,volume
20041229,58638,60984,58638,60788,372349
20041228,59224,59908,58540,59127,655592
20041227,60397,60495,59518,59518,395342
20041224,60202,60593,59420,60397,371009
20041223,60104,60690,59615,60495,556320
20041222,60202,60690,59127,60104,983930
20041221,60593,61277,59713,60690,915838
20041220,60104,61277,59615,60788,880703
20041217,62059,62938,60495,60788,1296562
20041216,61863,62645,60984,62449,1304297
20041215,58931,60788,58931,60788,1076529
20041214,57661,58833,56292,58540,1370479
20041213,60397,60495,57172,57856,1404924
20041210,62059,62254,60299,60495,747526
20041209,63427,63622,61374,62254,1037201
20041208,60495,63134,60495,62840,893264
20041207,62156,62156,60593,61081,1135452
20041206,64013,64013,62156,62352,802998
20041203,63427,64502,63036,64502,1234682
20041202,62059,62449,61472,62059,1042285
20041201,61570,61863,59127,60690,1265736
20041130,60984,62156,60495,61863,1173615
20041129,60104,61961,60104,61179,981191
20041126,62938,63525,60495,60593,1174938
20041125,63525,64013,62938,62938,760054
20041124,62156,63622,62059,63622,1680376
20041123,63329,63818,61472,61961,2483158
20041122,64013,64306,61961,62938,2241590
20041119,66847,67629,65577,65968,1411283
20041118,69877,70366,65479,66359,2224409
20041117,67922,70952,67922,70952,791377
20041116,69291,69291,67922,68216,518620
20041115,68313,68900,67141,68216,544737
20041112,68118,68704,67531,68216,813082
20041111,66359,68118,65968,67336,979718
20041110,65870,66652,65675,66163,990551
20041109,64990,66065,64404,65870,477751
20041108,66456,66456,64502,65186,661464
20041105,64697,66456,64697,65772,1613525
20041104,64795,65186,63720,64013,646102
20041103,63231,64502,62743,64502,781933
20041102,61765,63427,61472,62938,765201
20041101,61472,63622,61472,61765,491554
20041029,60593,62547,60495,61765,1128305
20041028,61081,61863,60690,61472,1298400
20041027,62743,62840,58638,59127,1228070
20041026,63720,64013,61765,61863,647724
20041025,62059,64600,61570,63720,870354
20041022,62840,64600,62840,64013,671062
20041021,63134,63720,61863,62840,1232949
20041020,64990,65675,62352,62547,1346262
20041019,65479,65772,63818,64795,1148235
20041018,63231,65186,62547,65088,1153958
20041015,59420,63329,59420,63329,1325324
20041014,59811,61081,59322,60104,1241024
20041013,61179,61570,59811,60886,788415
20041012,63525,63915,60495,60593,1126116
20041011,63720,64600,63720,64306,440499
20041008,63622,64990,63622,64209,770857
20041007,64502,65577,64111,64502,642286
20041006,65479,65675,63818,64502,1252880
20041005,66456,66456,65381,65772,887239
20041004,65577,66652,65381,66456,990142
20041001,64697,64697,63329,64404,641458
20040930,62938,64697,62645,64697,1028706
20040924,60495,62743,60397,62254,1009900
20040923,59713,60984,58345,60397,674655
20040922,62840,62840,59713,59713,617835
20040921,63036,63036,61961,62254,540412
20040920,62059,62743,61570,62352,487981
20040917,60690,62059,60495,61570,684917
20040916,60886,61668,60104,60593,854797
20040915,61179,62254,60886,61472,757410
20040914,63329,63427,61472,61570,1027467
20040913,60104,63231,59908,63231,1912303
20040910,56683,59420,55804,59224,1636056
20040909,55022,55999,54142,55999,903919
20040908,55120,55999,54924,55217,429662
20040907,55804,56097,55120,55217,386180
20040906,56390,56488,54338,55999,674166
20040903,55217,56195,55120,55999,904649
20040902,55413,55608,54533,55217,506580
20040901,53947,55608,53556,55413,729725
20040831,53752,54240,53361,53752,776967
20040830,55706,56097,54338,54533,611578
20040827,55706,55902,54729,55511,372360
20040826,55511,56683,55413,55511,1299444
20040825,55413,55413,54338,55022,1160664
20040824,55217,55315,54142,54924,727837
20040823,55511,55999,54533,54729,973584
20040820,54240,55413,53849,54631,1101642
20040819,52286,54729,52090,54533,2133522
20040818,50526,51406,50038,51406,944378
20040817,51211,51406,50135,50624,721111
20040816,50331,51015,49842,50331,825252
20040813,48670,50624,48034,50624,1380032
20040812,48181,49256,47692,48621,866295
20040811,49451,49745,47888,48279,1182399
20040810,47888,48963,47497,48865,876656
20040809,47057,48230,47008,48181,872368
20040806,47106,48767,47106,48279,1096027
20040805,47546,48083,46617,48034,1462535
20040804,47106,47692,46031,47106,1244054
20040803,47399,47888,47106,47888,576859
20040802,47204,47546,46910,47204,620476
20040730,47839,48230,47399,47595,708145
20040729,47790,48083,47204,47204,704690
20040728,48816,48963,48181,48230,884348
20040727,48572,48963,47301,48230,906028
20040726,48816,49451,48816,48816,772546
20040723,50331,50820,49647,49842,666749
20040722,49647,50820,49060,50331,1033614
20040721,50135,50429,49647,50429,1152635
20040720,49842,50624,48816,49060,1216020
20040719,49354,51015,49158,50820,886131
20040716,48670,50526,47301,50233,1495972
20040715,49842,50233,48083,48621,1238782
20040714,52188,52286,49647,50038,1044339
20040713,52383,52774,50722,52676,565888
20040712,52286,52481,51601,51992,949004
20040709,50722,51992,50038,51211,1240714
20040708,50038,50917,49451,49451,749734
20040707,48376,50917,48376,50917,922051
20040706,50331,51113,50135,50135,489415
20040705,50233,51113,49842,50917,788970
20040702,51797,51992,50038,50135,1336435
20040701,54045,54338,52872,52970,957474
20040630,52872,54142,52872,53556,1240530
20040629,51992,52970,51308,52774,1160770
20040628,53849,53849,51895,52579,946378
20040625,51895,54631,51308,53849,1772484
20040624,51308,52188,50331,51895,1961471
20040623,49060,51015,48963,49842,2147379
20040622,47985,49256,47741,49060,2315611
20040621,49256,49451,47057,48181,2230573
20040618,49940,50331,48425,48670,1771010
20040617,51797,51992,49549,50624,2171473
20040616,52383,53947,51113,51797,1692900
20040615,53263,53556,49647,52286,2357157
20040614,50624,54142,50624,52286,2573555
20040611,55706,55804,51895,51992,2819938
20040610,56683,56879,55022,55804,2918686
20040609,60104,60593,57758,58149,1632316
20040608,60886,61570,59420,59811,1050386
20040607,58638,60104,58540,59811,1485560
20040604,58443,59811,57270,57661,2497994
20040603,64990,65479,58638,59420,2129629
20040602,64893,65381,64111,64306,611086
20040601,64600,66359,64600,65968,710426
20040531,65968,65968,63231,64209,687101
20040528,66359,66554,65772,66065,1074047
20040527,66261,66261,64111,65186,767837
20040525,65479,65479,63427,63818,1017374
20040524,64502,66065,64013,65479,1209542
20040521,63427,63720,61179,63525,990608
20040520,60984,64306,60397,61961,1721256
20040519,58443,62840,58345,62449,1599066
20040518,52286,57074,52090,57074,2047449
20040517,58149,59615,51992,52579,1493803
20040514,61472,62743,58052,58540,1440681
20040513,63525,63818,61472,61765,1106205
20040512,62547,64111,62156,64111,1130099
20040511,62547,64111,61179,61374,1465178
20040510,66065,66456,59908,63036,1481039
20040507,66847,68509,66065,67727,1136689
