,open,high,low,close,volume
20121220,30300,30580,29900,30060,20137000
20121218,30000,30320,29900,30300,13562350
20121217,30020,30480,29940,30060,15518600
20121214,30320,30720,30160,30300,13956050
20121213,30000,30660,29860,30660,30711450
20121212,29460,29920,29460,29800,15247450
20121211,29960,29960,29380,29520,12664700
20121210,30120,30120,29700,29820,13062950
20121207,29000,29960,29000,29600,15887800
20121206,29360,29420,28680,29080,14257200
20121205,28600,29100,28540,29100,12444700
20121204,28640,28680,28400,28600,9510650
20121203,28400,28720,28160,28600,10228600
20121130,28460,28500,27980,28120,16440500
20121129,28040,28440,28040,28280,13112800
20121128,28000,28760,27920,28260,14071300
20121127,28100,28560,28080,28320,11844200
20121126,28840,28860,27980,28080,13757750
20121123,28440,28840,28340,28740,12338450
20121122,27880,28380,27820,28340,14965900
20121121,27520,27940,27440,27680,17795050
20121120,27060,27300,26920,27280,13429300
20121119,26300,26840,26260,26640,10141850
20121116,26440,26520,26020,26140,12186200
20121115,26700,26760,26520,26620,9962950
20121114,27140,27140,26920,27100,10441400
20121113,26940,26980,26520,26980,7329700
20121112,26620,26940,26620,26900,6960650
20121109,26700,27020,26520,26820,14556200
20121108,26960,27140,26820,27000,15343100
20121107,26860,27240,26700,27240,9692350
20121106,26980,26980,26640,26980,8984500
20121105,26560,26980,26400,26820,13070650
20121102,26380,26660,26260,26540,18529600
20121101,25900,26040,25800,25940,10460250
20121031,26120,26240,25980,26200,10621400
20121030,25980,26080,25840,25960,6665000
20121029,25960,25980,25580,25980,11471550
20121026,26120,26240,25740,25740,13817650
20121025,25920,26440,25820,26440,11897100
20121024,25940,26180,25780,26000,13487650
20121023,26380,26440,26040,26260,9264800
20121022,25540,26340,25520,26300,11744200
20121019,26460,26500,25980,26040,13997950
20121018,26720,26820,26560,26740,10539800
20121017,26840,26920,26320,26720,9023050
20121016,26520,26620,26300,26600,10679450
20121015,25920,26240,25740,26000,10347900
20121012,26100,26240,25760,25920,15001950
20121011,26200,26400,25740,26080,23813250
20121010,27060,27200,26500,26500,13001150
20121009,27260,27620,27260,27440,8803400
20121008,27500,27580,27200,27460,12045950
20121005,27740,27800,27040,27400,17854000
20121004,27020,27460,26780,27340,19174000
20121002,27080,27420,27040,27380,13386450
20120928,27180,27200,26780,26920,17925450
20120927,26540,26840,26460,26760,14553050
20120926,26260,26500,26120,26500,12059850
20120925,26200,26680,26200,26540,11372150
20120924,26000,26560,25840,26540,13200750
20120921,26000,26140,25900,26040,14918700
20120920,25860,26100,25680,25740,14224400
20120919,26120,26460,25960,26280,12147300
20120918,26280,26720,26160,26300,11247000
20120917,26720,26720,26240,26300,14910000
20120914,26600,26780,26540,26720,24935900
20120913,25980,26100,25620,26020,19516600
20120912,25360,25900,25180,25880,18512500
20120911,24800,25300,24640,25120,9930400
20120910,25200,25280,25000,25000,15924050
20120907,24600,25020,24400,25000,25546100
20120906,24000,24060,23860,23920,12398850
20120905,24100,24240,23780,23780,17455050
20120904,24380,24560,24200,24360,9947700
20120903,24400,24700,24020,24360,13926850
20120831,24220,24680,24140,24660,20367900
20120830,24560,24580,24040,24300,16231800
20120829,24180,24700,24140,24600,23475850
20120828,23720,24180,23600,23900,27925150
20120827,23780,24060,23460,23600,63899150
20120824,25400,25740,25280,25500,14146050
20120823,25220,25740,24980,25740,13880000
20120822,25380,25620,25140,25280,16077700
20120821,25840,26040,25640,25640,15352350
20120820,25400,25660,25100,25660,19991000
20120817,26880,26900,25720,25900,27701250
20120816,27080,27100,26760,26900,14844550
20120814,26520,27000,26520,26900,14496400
20120813,26840,26940,26460,26500,9898800
20120810,26700,26960,26600,26960,14744750
20120809,26420,26960,26360,26800,30643750
20120808,26120,26560,26020,26400,19473550
20120807,26060,26080,25680,25880,10291150
20120806,25700,26100,25640,25960,12301200
20120803,24800,25340,24760,24860,15616900
20120802,26000,26080,25220,25260,16016750
20120801,25840,26300,25660,26000,19090150
20120731,25600,26680,25500,26180,33815150
20120730,25200,25560,25020,25500,19149750
20120727,23900,24660,23820,24660,26717600
20120726,23380,23480,23200,23440,13666950
20120725,23060,23440,22780,23160,13667650
20120724,23300,23500,23180,23400,14626600
20120723,23300,23400,23100,23240,12904350
20120720,24040,24060,23820,23820,12012200
20120719,23600,24040,23440,23900,24875200
20120718,23580,23700,22760,23080,14632750
20120717,22960,23560,22720,23360,15895650
20120716,22900,23100,22660,23040,15286500
20120713,21920,22880,21820,22780,27112600
20120712,22420,22520,21820,21820,25005150
20120711,22580,22660,22160,22360,18067900
20120710,22700,22840,22420,22540,17787100
20120709,22700,22760,22520,22520,21335250
20120706,23880,23880,23060,23220,21198500
20120705,23740,23880,23540,23700,9089200
20120704,23640,23940,23560,23820,19183900
20120703,23640,23860,23400,23500,15819000
20120702,24160,24180,23420,23480,19156750
20120629,23340,24020,23060,24020,18673900
20120628,23340,23600,23060,23360,10421000
20120627,22800,23540,22600,23340,23583650
20120626,22660,22980,22580,22780,25310550
20120625,23420,23560,22560,22640,41436150
20120622,23780,24040,23600,23640,31347150
20120621,24680,24840,24520,24540,12777650
20120620,24980,25300,24900,25040,13287150
20120619,24900,24940,24440,24880,14858450
20120618,24800,25140,24680,24860,17625300
20120615,25000,25200,24280,24340,30480600
20120614,25380,25420,25120,25220,22079250
20120613,25320,25480,25120,25420,9580550
20120612,24920,25200,24900,25100,8816450
20120611,25440,25500,25320,25360,9924550
20120608,25500,25500,24900,24940,9976050
20120607,24780,25300,24660,25300,20970600
20120605,24020,24180,23860,24060,12872450
20120604,23960,24100,23840,23920,18092000
20120601,24260,24740,23980,24660,13612600
20120531,24260,24260,23840,24220,22140900
20120530,24760,24800,24300,24520,12719000
20120529,24240,24760,24120,24760,10843800
20120525,24660,24920,24460,24500,10189150
20120524,24260,24500,23960,24500,15268250
20120523,24800,24800,23900,24420,16194900
20120522,25100,25100,24540,24800,23846900
20120521,23880,24320,23800,24180,23762400
20120518,24080,24100,23300,23320,30144550
20120517,24600,24860,24020,24460,33171550
20120516,25960,26000,24560,24600,38619450
20120515,26080,26400,26000,26220,15619050
20120514,26100,26540,26080,26280,15118750
20120511,26300,26460,26060,26060,13687300
20120510,26580,26720,26440,26540,13171700
20120509,26700,26960,26480,26620,12676000
20120508,26960,27040,26780,26820,12061150
20120507,26840,27060,26500,26840,18923150
20120504,27500,27960,26980,27200,20500650
20120503,28040,28200,27960,28020,10336050
20120502,28200,28360,27980,28200,18429250
20120430,27900,28180,27540,27800,15796200
20120427,27100,27660,27020,27480,15916700
20120426,26400,26800,26340,26800,16506250
20120425,26080,26300,25860,26100,13841500
20120424,25300,25720,25240,25660,13254600
20120423,25380,25600,25240,25580,8411450
20120420,25880,25940,25560,25640,9932100
20120419,25840,26140,25780,26140,13169450
20120418,25540,26040,25380,25860,17266000
20120417,25020,25280,24820,24980,14584350
20120416,25460,25520,25000,25180,15259050
20120413,25300,25540,25200,25360,35458750
20120412,25660,25980,25360,25460,25285300
20120410,26280,26400,26140,26220,11182750
20120409,26400,26600,26120,26340,8610500
20120406,26540,26680,26260,26640,10298600
20120405,26040,26700,25940,26600,12934600
20120404,26620,27020,26300,26400,14599350
20120403,26400,26780,26040,26700,16525600
20120402,25500,25980,25220,25980,12596850
20120330,25400,25600,25140,25500,15298350
20120329,25980,25980,25600,25600,11688850
20120328,26000,26160,25900,26040,9925800
20120327,25700,26220,25520,26220,14194000
20120326,25360,25500,25220,25500,9240950
20120323,24860,25480,24860,25220,10865350
20120322,24700,25260,24700,25160,12691500
20120321,25200,25200,24840,24840,12932700
20120320,25340,25540,25200,25340,11940350
20120319,24700,25360,24680,25200,11891650
20120316,25200,25340,24760,24760,18081600
